region,name,category,phone,email
Athens,Amalia Hotel Athens,,2103237300,
Athens,Ambrosia Suites & Aparts,,2105233350,
Athens,Iconic Athens Suites,Holiday apartment rental,6947371095,
Athens,"The Social Athens Hotel, a member of Radisson Individuals",,2103002080,
Glyfada,Thelfi Luxury studio in Attica - sea view,,6944338999,
Glyfada,Unique studio at Athens Riviera 1 min from the sea,Holiday apartment rental,6977989904,
Piraeus,Eva Hotel Piraeus,"
Hotels",2104170110,
Piraeus,METROPOLITAN MACVIEW ΔΙΑΜΕΡΙΣΜΑ ΦΑΛΗΡΟ,"
Hotels",6932717320,
Piraeus,Maya Studio Piraeus,Holiday apartment rental,6982323206,
Piraeus,Metropolitan Hospital Georginas cozy apartment,"
Hotels",6937011793,
Piraeus,The George,"
Hotels",2104128092,
Voula,Airbnb Sea view apartment,Guest house,6948377251,
Voula,Archer Sea View Apartment,,2105226975,
Voula,Athens riviera luxury resort sea view voula,Holiday apartment rental,6973702947,
Voula,"Modern Garden View Apt in Voula, Athens - Luxe",Holiday apartment rental,6983857312,
Voula,Panorama Penthouse & Studios,Furnished apartment building,6937120496,
Voula,Roxy 1 Voula Airbnb Booking Apartment,Hotel,6945598770,
Voula,Seaside Luxury 70m2 Apartment in Voula,Holiday apartment rental,2114145357,
