region,name,category,phone,email,gmaps_url,online_presence
Anavyssos,Anavissos Apartments,,6986307373,,https://www.google.com/maps/place/Anavissos+Apartments/data=!4m10!3m9!1s0x14a1f3f8483ae25f:0x253d444094d79f29!5m2!4m1!1i2!8m2!3d37.7541215!4d23.9636016!16s%2Fg%2F11gmgrqqzr!19sChIJX-I6SPjzoRQRKZ_XlEBEPSU?authuser=0&hl=en&rclk=1,instagram
Anavyssos,Anavissos Seaview Holiday Home - Two-Bedroom Apartment,,6946454892,,https://www.google.com/maps/place/beach+n+fun/data=!4m7!3m6!1s0x14a1ed14b9f2537b:0xb859ad6420a549d!8m2!3d37.7454966!4d23.906439!16s%2Fg%2F11t1dx647p!19sChIJe1PyuRTtoRQRnVQKQtaahQs?authuser=0&hl=en&rclk=1,none
Anavyssos,Athenian Riviera Family House,Indoor lodging,6947667056,,https://www.google.com/maps/place/Casa+al+Mare+Anavissos/data=!4m7!3m6!1s0x14a1edc57aa2c487:0x3943dbb5dd1280bd!8m2!3d37.7258005!4d23.9440047!16s%2Fg%2F11stpsv7t2!19sChIJh8SiesXtoRQRvYAS3bXbQzk?authuser=0&hl=en&rclk=1,booking
Anavyssos,Casa Marianna Luxury Riviera Retreat,Holiday apartment rental,6983834289,,https://www.google.com/maps/place/Casa+Marianna+Luxury+Riviera+Retreat/data=!4m7!3m6!1s0x14a1f3a03c8250df:0x340b734ce90c3a0!8m2!3d37.7548741!4d23.9557468!16s%2Fg%2F11z9n20nr3!19sChIJ31CCPKDzoRQRoMOQzjS3QAM?authuser=0&hl=en&rclk=1,booking
Anavyssos,Casa del Olivo,Furnished apartment building,6944692962,,https://www.google.com/maps/place/Casa+del+Olivo/data=!4m7!3m6!1s0x14a1f3fab73270d5:0x124fe24c1ef4f08!8m2!3d37.737765!4d23.9553854!16s%2Fg%2F11k0qstznj!19sChIJ1XAyt_rzoRQRCE_vwST-JAE?authuser=0&hl=en&rclk=1,none
Anavyssos,Casa del latino,Holiday apartment,6974489120,,https://www.google.com/maps/place/Casa+del+latino/data=!4m7!3m6!1s0x14a1ed722754b73d:0x50861bf8630ac8a7!8m2!3d37.7375639!4d23.9174569!16s%2Fg%2F11w1cygzd2!19sChIJPbdUJ3LtoRQRp8gKY_gbhlA?authuser=0&hl=en&rclk=1,facebook
Anavyssos,Kumquat Apartment,Holiday apartment rental,6972848601,,https://www.google.com/maps/place/Kumquat+Apartment/data=!4m7!3m6!1s0x14a1ede9f7332003:0x1d331e0fdbda90a4!8m2!3d37.7382964!4d23.9206549!16s%2Fg%2F11svrwcj86!19sChIJAyAz9-ntoRQRpJDa2w8eMx0?authuser=0&hl=en&rclk=1,instagram
Anavyssos,Lemon Tree,Holiday apartment,6946466435,,https://www.google.com/maps/place/Lemon+Tree/data=!4m7!3m6!1s0x14a1ed9622d06775:0x38d12a84934cbcda!8m2!3d37.7364226!4d23.9306717!16s%2Fg%2F11gd2772yc!19sChIJdWfQIpbtoRQR2rxMk4Qq0Tg?authuser=0&hl=en&rclk=1,none
Anavyssos,Olivujoj Villajoj Deluxe Villa with Detached Pool House,,6947072351,,https://www.google.com/maps/place/Country+House+Anavyssos/data=!4m7!3m6!1s0x14a1f3bc3793c20d:0x877df1a189acd851!8m2!3d37.7484192!4d23.9626093!16s%2Fg%2F11xrzjj9y1!19sChIJDcKTN7zzoRQRUdisiaHxfYc?authuser=0&hl=en&rclk=1,none
Anavyssos,Seaview Apartment near Athens - Sounio,Holiday apartment,6934458297,,https://www.google.com/maps/place/VILLA+GOLDEN+SUN/data=!4m7!3m6!1s0x14a1ed2b2054e773:0xc3cc2505eb8da2bf!8m2!3d37.7372822!4d23.9379135!16s%2Fg%2F11yw4h1fv5!19sChIJc-dUICvtoRQRv6KN6wUlzMM?authuser=0&hl=en&rclk=1,none
Anavyssos,Sen George Luxury Rooms,Holiday apartment rental,6946717666,,https://www.google.com/maps/place/Mavro+Lithari+Hotel/data=!4m10!3m9!1s0x14a1ec3503217a03:0x2b292657e5b62540!5m2!4m1!1i2!8m2!3d37.7329383!4d23.9038987!16s%2Fg%2F12hr0058_!19sChIJA3ohAzXsoRQRQCW25VcmKSs?authuser=0&hl=en&rclk=1,none
Anavyssos,Sunset spacious maisonette,Holiday apartment rental,2291039516,,https://www.google.com/maps/place/ADRASTEIA/data=!4m7!3m6!1s0x14a1ed4560d1da15:0xbd3ed129584d4d19!8m2!3d37.7268552!4d23.9086109!16s%2Fg%2F11x_pq5c00!19sChIJFdrRYEXtoRQRGU1NWCnRPr0?authuser=0&hl=en&rclk=1,none
Anavyssos,VILLA NISO,Holiday apartment rental,6932445077,,https://www.google.com/maps/place/Athens+Riviera+Villa/data=!4m7!3m6!1s0x14a1ed0929e9e2d9:0x3e4a97f60537c0ab!8m2!3d37.7248348!4d23.9221004!16s%2Fg%2F11y47t53gh!19sChIJ2eLpKQntoRQRq8A3BfaXSj4?authuser=0&hl=en&rclk=1,none
Antiparos,Anargyros Rooms - Antiparos,Hotel,2284061204,,https://www.google.com/maps/place/Anargyros+Rooms+-+Antiparos/data=!4m7!3m6!1s0x149865b86f58a82f:0x26c65ff45698f823!8m2!3d37.0401934!4d25.0839796!16s%2Fg%2F11fmdkm3ts!19sChIJL6hYb7hlmBQRI_iYVvRfxiY?authuser=0&hl=en&rclk=1,facebook
Antiparos,Eva's Pension,Hotel,2284061259,,https://www.google.com/maps/place/Eva%27s+Pension/data=!4m7!3m6!1s0x14986544baac8bf5:0xb08ff6b20ffe69cf!8m2!3d37.041351!4d25.076673!16s%2Fg%2F11c1ly4xvc!19sChIJ9YusukRlmBQRz2n-D7L2j7A?authuser=0&hl=en&rclk=1,none
Antiparos,Hotel Begleri,,2284061378,,https://www.google.com/maps/place/Hotel+Begleri/data=!4m10!3m9!1s0x14986544baac8c01:0x48c5c6c989d79a9f!5m2!4m1!1i2!8m2!3d37.0387142!4d25.0818467!16s%2Fg%2F11b6dfk715!19sChIJAYysukRlmBQRn5rXicnGxUg?authuser=0&hl=en&rclk=1,none
